310,,AOU,LA,,14.8,106.833336,Asia/Vientiane,7,1665046
311,,APB,BO,,-14.716667,-68.51667,America/La_Paz,-4,0
312,,APC,US,,38.212223,-122.28,America/Los_Angeles,-8,5376095
313,,APE,PE,,-11.933333,-69.083336,America/Lima,-5,0
314,,APF,US,,26.152779,-81.775276,America/New_York,-5,4165565
315,,APG,US,,39.5,-76.166664,America/New_York,-5,0
316,,APH,US,,38.05,-77.35,America/New_York,-5,0
317,,API,CO,,4.068889,-73.05194,America/Bogota,-5,3689790
318,,APK,PF,,-15.416667,-146.08333,Pacific/Tahiti,-10,0
319,,APL,MZ,,-15.101667,39.287224,Africa/Maputo,2,1033356
320,,APN,US,,45.08167,-83.55583,America/Detroit,-5,4984075
321,,APO,CO,,7.817678,-76.71766,America/Bogota,-5,0
322,,APP,PG,,-8.983333,148.13333,Pacific/Port_Moresby,10,0
323,,APQ,BR,,-9.75,-36.65,America/Maceio,-3,3395981
324,,APR,PG,,-8.5,145,Pacific/Port_Moresby,10,0
325,,APS,BR,,-16.333332,-48.966667,America/Sao_Paulo,-3,3462377
326,,APT,US,,35.066666,-85.5,America/Chicago,-6,0
327,,APU,BR,,-23.55,-51.483334,America/Sao_Paulo,-3,3457671
328,,APV,US,,34.52639,-117.212776,America/Los_Angeles,-8,5324363
329,,APW,WS,,-13.8333333,-171.7666667,Pacific/Apia,13,4035413
330,,APX,BR,,-23.483334,-51.466667,America/Sao_Paulo,-3,3457671
331,,APY,BR,,-9.133333,-45.933334,America/Fortaleza,-3,0
332,,APZ,AR,,-38.916668,-70.083336,America/Argentina/Salta,-3,8556185
333,,AQA,BR,,-21.816668,-48.13333,America/Sao_Paulo,-3,3471766
334,,AQB,GT,,15.01,-91.15,America/Guatemala,-6,3599699
335,,AQG,CN,,30.5825,117.0509,Asia/Shanghai,8,1817993
336,,AQI,SA,,28.334408,46.121315,Asia/Riyadh,3,0
337,,AQJ,JO,,29.610073,35.02151,Asia/Amman,2,250774
338,,AQM,BR,,-9.933333,-63.066666,America/Porto_Velho,-4,0
339,,AQP,PE,,-16.344812,-71.56799,America/Lima,-5,3947322
340,,AQS,FJ,,-17,170.9,Pacific/Fiji,12,0
341,,AQY,US,,60.966667,-149.11667,America/Anchorage,-9,5879267
342,,ARA,US,,30.037779,-91.88389,America/Chicago,-6,4334971
343,,ARB,US,,42.3,-83.75,America/Detroit,-5,4984247
344,,ARC,US,,68.1375,-145.52444,America/Anchorage,-9,5879636
345,,ARD,ID,,-8.683333,124.53333,Asia/Makassar,8,0
346,,ARE,PR,,18.45,-66.675835,America/Puerto_Rico,-4,4562635
347,,ARF,CO,,0.533333,-70.13333,America/Bogota,-5,0
348,,ARG,US,,36.066666,-90.95,America/Chicago,-6,4102412
349,,ARH,RU,,64.594795,40.711903,Europe/Moscow,3,581049
350,,ARI,CL,,-18.349766,-70.335556,America/Santiago,-4,3899361
351,,ARJ,ID,,-2.933333,140.78334,Asia/Jayapura,9,2082600
352,,ARK,TZ,,-3.366667,36.683334,Africa/Dar_es_Salaam,3,161325
353,,ARL,BF,,11.6,1.483333,Africa/Ouagadougou,0,0
354,,ARM,AU,,-30.532297,151.61493,Australia/Sydney,10,2177671
355,,ARO,CO,,8.85,-76.433334,America/Bogota,-5,0
356,,ARP,PG,,-9.8,149.5,Pacific/Port_Moresby,10,2085070
357,,ARQ,CO,,7.033056,-71.43166,America/Bogota,-5,0
358,,ARR,AR,,-45.033333,-70.833336,America/Argentina/Catamarca,-3,0
359,,ARS,BR,,-15.9,-52.233334,America/Sao_Paulo,-3,0
360,,ART,US,,43.990833,-76.021385,America/New_York,-5,5143396
361,,ARU,BR,,-21.143612,-50.42611,America/Sao_Paulo,-3,3471859
362,,ARV,US,,45.924168,-89.73222,America/Chicago,-6,5263156
363,,ARW,RO,,46.183334,21.266666,Europe/Bucharest,2,686254
364,,ARX,US,,40.216667,-74.1,America/New_York,-5,0
365,,ARY,AU,,-37.316666,143,Australia/Melbourne,10,2177091
366,,ARZ,AO,,-7.5,13.5,Africa/Luanda,1,0
367,,ASA,ER,,13.07,42.638332,Africa/Asmara,3,0
368,,ASB,TM,,37.984184,58.366978,Asia/Ashgabat,5,162183
369,,ASC,BO,,-15.916667,-63.15,America/La_Paz,-4,0
370,,ASD,BS,,24.697779,-77.79611,America/Nassau,-5,3572906
371,,ASE,US,,39.219685,-106.864685,America/Denver,-7,5412230
372,,ASF,RU,,46.2877,47.999977,Europe/Volgograd,3,580497
373,,ASG,NZ,,-43.9,171.78334,Pacific/Auckland,12,6217081
374,,ASH,US,,42.77889,-71.509445,America/New_York,-5,5090046
375,,ASI,SH,,-7.966667,-14.4,Atlantic/St_Helena,0,2411397
376,,ASJ,JP,,28.431522,129.70793,Asia/Tokyo,9,0
377,,ASK,CI,,6.816667,-5.283333,Africa/Abidjan,0,0
378,,ASL,US,,32.55,-94.38333,America/Chicago,-6,4709272
379,,ASM,ER,,15.291111,38.91028,Africa/Asmara,3,343300
380,,ASN,US,,33.433334,-86.1,America/Chicago,-6,4049979
381,,ASO,ET,,10.047222,34.536667,Africa/Addis_Ababa,3,0
382,,ASP,AU,,-23.7002104,133.8806114,Australia/Darwin,9.30,2077895
383,,ASQ,US,,39.466667,-117.166664,America/Los_Angeles,-8,0
384,,ASR,TR,,38.7742,35.490707,Europe/Istanbul,3,308464
385,,AST,US,,46.15972,-123.88,America/Los_Angeles,-8,5711847
386,,ASU,PY,,-25.241795,-57.513794,America/Asuncion,-4,3439389
387,,ASV,KE,,-2.633333,37.25,Africa/Nairobi,3,201050
